,link
124,https://tv.aftonbladet.se/video/300167
125,https://www.aftonbladet.se/nyheter/a/qLxRx1/man-gripen-for-mord-pa-kvinna-i-goteborgsomradet
126,https://www.aftonbladet.se/nyheter/a/Jo3x5J/lena-46-om-mordet-stoppa-neddragningar-i-fororten
127,https://tv.aftonbladet.se/video/284264
128,https://tv.aftonbladet.se/video/276894
129,https://www.aftonbladet.se/nyheter/kolumnister/a/zgWP0r/dags-att-du-och-jag-inser-att-mordarna-kan-komma-aven-till-oss
130,https://www.aftonbladet.se/nyheter/a/opGeG7/pojke-dod-i-skottlossning-i-goteborg
131,https://tv.aftonbladet.se/video/288062
132,https://tv.aftonbladet.se/video/297033
133,https://www.aftonbladet.se/nyheter/a/jP7Xan/tva-anhallna-for-misstankt-mord-i-goteborg
134,https://tv.aftonbladet.se/video/330522
135,https://www.aftonbladet.se/nyheter/a/jdkp5z/dodade-sin-familj--domen-overklagas-till-hd
136,https://www.aftonbladet.se/nyheter/a/G17X9Q/aklagaren-yrkar-pa-livstid-for-mord-i-hogsbo
137,https://www.aftonbladet.se/nyheter/a/xP5VQB/livstid-for-mord-och-overfall-i-bostader
138,https://www.aftonbladet.se/nyheter/a/dmmWez/kriminologen-om-filmen-extremt-grovt
139,https://tv.aftonbladet.se/video/236752
140,https://tv.aftonbladet.se/video/236772
141,https://www.aftonbladet.se/nyheter/a/VbgXqJ/hovratten-sanker-straffet-efter-dikesmordet-i-hjallbo
142,https://tv.aftonbladet.se/video/293001
143,https://www.aftonbladet.se/nyheter/a/lA1gkM/dodade-hustrun-med-hantel--doms-till-fangelse-for-mord
144,https://www.aftonbladet.se/nyheter/a/VbdJL3/ungdomsgang-falls-for-flera-bestallningsmord
145,https://www.aftonbladet.se/nyheter/a/rAeWj0/18-arig-man-knivhuggen-till-dods-vid-ran
146,https://tv.aftonbladet.se/video/282443
147,https://tv.aftonbladet.se/video/282049
148,https://www.aftonbladet.se/nyheter/a/xPE8QQ/skarpt-straff-for-gangledare
149,https://www.aftonbladet.se/nyheter/a/e8RoXO/gangledaren-planerade-mord--doms-till-fangelse
150,https://tv.aftonbladet.se/video/238079
151,https://tv.aftonbladet.se/video/330515
152,https://www.aftonbladet.se/nyheter/a/2dM3Jq/misstankta-17-aringen-tidigare-domd-for-mordforsok
153,https://www.aftonbladet.se/nyheter/a/R93RGW/sorg-i-biskopsgarden-fortsatt-hog-polisnarvaro
154,https://www.aftonbladet.se/nyheter/a/P9wgv0/vanner-om-misstankta-mordaren-han-skrot-om-styckningen
155,https://www.aftonbladet.se/nyheter/a/KvJKb5/nytt-tillvagagangssatt-mordarna-anvander-gps-sandare-for-att-hitta-si
156,https://tv.aftonbladet.se/video/280812
157,https://www.aftonbladet.se/nyheter/a/e1BmEO/man-hittad-dod-i-goteborg--tva-anhallna-for-mord
158,https://www.aftonbladet.se/nyheter/a/xP5aRp/man-dod-efter-skottlossning-i-goteborg
